   82    64
    5  -1 0 0 
   10  -2 0 0 
   15  -2 0 0 
   20  -2 0 0 
   21  0 -1 0 
   22  0 -2 0 
   23  0 -2 0 
   24  0 -2 0 
   25  -1 -1 0 
   26  2 2 0 
   27  0 4 0 
   28  0 4 0 
   29  0 4 0 
   30  -2 2 0 
   31  4 0 0 
   35  -4 0 0 
   36  4 0 0 
   40  -4 0 0 
   41  4 0 0 
   45  -4 0 0 
   46  2 -2 0 
   47  0 -4 0 
   48  0 -4 0 
   49  0 -4 0 
   50  -2 -2 0 
   51  2 2 0 
   52  0 4 0 
   53  0 4 0 
   54  0 4 0 
   55  -2 2 0 
   56  4 0 0 
   60  -4 0 0 
   61  4 0 0 
   65  -4 0 0 
   66  4 0 0 
   70  -4 0 0 
   71  2 -2 0 
   72  0 -4 0 
   73  0 -4 0 
   74  0 -4 0 
   75  -2 -2 0 
   76  2 2 0 
   77  0 4 0 
   78  0 4 0 
   79  0 4 0 
   80  -2 2 0 
   81  4 0 0 
   85  -4 0 0 
   86  4 0 0 
   90  -4 0 0 
   91  4 0 0 
   95  -4 0 0 
   96  2 -2 0 
   97  0 -4 0 
   98  0 -4 0 
   99  0 -4 0 
  100  -2 -2 0 
  101  1 1 -1 
  102  0 2 -2 
  103  0 2 -2 
  104  0 2 -2 
  105  -1 1 -1 
  106  2 0 -2 
  107  0 0 -4 
  108  0 0 -4 
  109  0 0 -4 
  110  -2 0 -2 
  111  2 0 -2 
  112  0 0 -4 
  113  0 0 -4 
  114  0 0 -4 
  115  -2 0 -2 
  116  2 0 -2 
  117  0 0 -4 
  118  0 0 -4 
  119  0 0 -4 
  120  -2 0 -2 
  121  1 -1 -1 
  122  0 -2 -2 
  123  0 -2 -2 
  124  0 -2 -2 
  125  -1 -1 -1 
