   25   113
  101     0     0    -1
  102     0     0    -2
  103     0     0    -2
  104     0     0    -2
  105     0     0    -1
  106     0     0    -2
  107     0     0    -4
  108     0     0    -4
  109     0     0    -4
  110     0     0    -2
  111     0     0    -2
  112     0     0    -4
  113     0     0    -4
  114     0     0    -4
  115     0     0    -2
  116     0     0    -2
  117     0     0    -4
  118     0     0    -4
  119     0     0    -4
  120     0     0    -2
  121     0     0    -1
  122     0     0    -2
  123     0     0    -2
  124     0     0    -2
  125     0     0    -1
