  -.1420173E-06  -.1343126E-06  -.1161306E-06  -.1016739E-06  -.1003720E-06
  -.1096058E-06  -.1159874E-06  -.1153550E-06  -.1144898E-06  -.1143521E-06
  -.1158734E-06  -.1144843E-06  -.1166749E-06  -.1170611E-06  -.1177384E-06
  -.1202783E-06  -.1204899E-06  -.1175583E-06  -.1125312E-06  -.1097160E-06
  -.1165632E-06  -.1255060E-06  -.1290936E-06  -.1316335E-06  -.1351047E-06
  -.1426505E-06  -.1470530E-06  -.1286382E-06  -.1159859E-06  -.1346275E-06
  -.1553354E-06  -.1503520E-06  -.1374960E-06  -.1330510E-06  -.1383266E-06
  -.1300399E-06  -.1129056E-06  -.1320347E-06  -.1526917E-06  -.1630969E-06
  -.1590011E-06  -.1542433E-06  -.1661545E-06  -.1970998E-06  -.2017933E-06
  -.2016557E-06  -.2044285E-06  -.2179696E-06  -.2545610E-06  -.2542487E-06
  -.2074867E-06  -.1879951E-06  -.2269729E-06  -.2693851E-06  -.2491948E-06
  -.1871533E-06  -.1454263E-06  -.1452887E-06  -.1823457E-06  -.2727209E-06
  -.3519204E-06  -.3261714E-06  -.2725990E-06  -.2775255E-06  -.3191809E-06
  -.3007078E-06  -.2250748E-06  -.1826784E-06  -.3005277E-06  -.4693086E-06
  -.4228959E-06  -.1993572E-06  -.2838010E-07  -.1159506E-07  -.8782585E-07
  -.1950814E-06  -.2960503E-06  -.3160526E-06  -.2016533E-06  -.1672313E-06
  -.2285610E-06  -.2925681E-06  -.3180419E-06  -.2864720E-06  -.3104324E-06
  -.3528445E-06  -.3942671E-06  -.3702643E-06  -.3106384E-06  -.2982772E-06
  -.2714221E-06  -.2688980E-06  -.3145698E-06  -.3056428E-06  -.2861220E-06
  -.3434934E-06  -.4569335E-06  -.5737205E-06  -.5503289E-06  -.4825248E-06
  -.4525266E-06  -.6351029E-06  -.9695428E-06  -.1134307E-05  -.7951684E-06
  -.4021290E-06  -.3748666E-06  -.5257196E-06  -.6061995E-06  -.5369693E-06
  -.3542343E-06  -.3074723E-06  -.5665916E-06  -.8390404E-06  -.9419012E-06
  -.8500720E-06  -.6594205E-06  -.5411978E-06  -.5413566E-06  -.5994739E-06
  -.5593931E-06  -.2802078E-06  -.2505153E-06  -.6087912E-06  -.9723933E-06
  -.8404444E-06  -.3236264E-06  -.1229925E-06  -.3090902E-06  -.2946917E-06
  -.1485692E-06  -.9723792E-07  -.6410744E-07  -.6340589E-07  -.2119888E-06
  -.3585926E-06  -.4787703E-06  -.6378887E-06  -.8702908E-06  -.1339190E-05
  -.1511697E-05  -.9264556E-06  -.2057070E-06  -.1924145E-06  -.4035706E-06
  -.7738665E-06  -.1519835E-05  -.1867313E-05  -.1385682E-05  -.6130120E-06
  -.4540839E-06  -.6687324E-06  -.7128617E-06  -.6873019E-06  -.1303118E-05
  -.1723806E-05  -.1321527E-05  -.8541856E-06  -.1072320E-05  -.1709046E-05
